,0
0,http://biz.heraldcorp.com/view.php?ud=20141105000742
1,http://www.hankyung.com/news/app/newsview.php?aid=2014110725811
2,http://www.hankyung.com/news/app/newsview.php?aid=2014110695206
3,http://www.hankyung.com/news/app/newsview.php?aid=2014110694066
4,http://www.hankyung.com/news/app/newsview.php?aid=2014110554196
5,http://www.hankyung.com/news/app/newsview.php?aid=2014072833126
6,http://www.hankyung.com/news/app/newsview.php?aid=201406169219u
7,http://www.asiatoday.co.kr/view.php?key=20140611010006414
8,http://www.hankyung.com/news/app/newsview.php?aid=2014061162216
9,http://www.segyefn.com/articles/article.asp?aid=20140609024254&cid=0503010000000?OutUrl=naver
10,http://news.mk.co.kr/news_forward.php?domain=news&no=871970&year=2014
11,http://www.hankyung.com/news/app/newsview.php?aid=2014060962726
12,http://www.hankyung.com/news/app/newsview.php?aid=2014060620831
13,http://www.hankyung.com/news/app/newsview.php?aid=2014060205776
14,http://www.hankyung.com/news/app/newsview.php?aid=201405298896u
15,http://www.hankyung.com/news/app/newsview.php?aid=2014042512236
