,0
0,http://www.hankookilbo.com/v/98de2acb75354b04be28e4d8ee373f2d
1,http://news.heraldcorp.com/view.php?ud=20170111000749
2,http://news.mk.co.kr/newsRead.php?no=23251&year=2017
3,http://www.hankookilbo.com/v/a0c3c6125b6c42b5ae27d5d51320d32b
4,http://stock.hankyung.com/news/app/newsview.php?aid=2016122120446
5,http://news.heraldcorp.com/view.php?ud=20161221000128
6,http://www.hankookilbo.com/v/01bb01699dae4426add6caf0d71cea2a
7,http://www.sedaily.com/NewsView/1L43FXWFVG
8,http://www.hankookilbo.com/v/f0a518b196e9462ea5ba237e90259ee7
9,http://www.hankookilbo.com/v/8c4c2b7ea5d9497e819dcb4cfc684909
10,http://news.heraldcorp.com/view.php?ud=20161014000545
11,http://www.sedaily.com/NewsView/1L2OW3LQHD
12,http://www.sedaily.com/NewsView/1L0A3GWRDA
13,http://www.hankyung.com/news/app/newsview.php?aid=201608196882v
14,http://news.heraldcorp.com/view.php?ud=20160811000388
15,http://news.mk.co.kr/newsRead.php?no=460457&year=2016
16,http://www.hankyung.com/news/app/newsview.php?aid=201606222462v
17,http://news.heraldcorp.com/view.php?ud=20160621000707
18,http://stock.hankyung.com/news/app/newsview.php?aid=2016062192726
19,http://www.hankookilbo.com/v/138e1aa12c0d4b18a783ece9ea0507b4
20,http://www.hankookilbo.com/v/50b80afdf85040699a1d6f31f9e2f329
